Number, Place                         , Name of library.                                                , When founded., Free or subscription., Class.         , Number of volumes.          , Average yearly additions., Yearly circulation., Amount of permanent fund., Total yearly income from all sources., "Books, periodicals, and binding.", Salaries and incidentals.
2586  , "Happy Home P. O., N. C."     , Rutherford College                                              , 1870         ,                      , Col            , "3,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
2587  , "Hillsboro', N. C."           , Horner & Graves' School                                         , 1874         ,                      , Acad.          , 700                         ,                          ,                    ,                          ,                                      ,                                   , 
2588  , "Mt. Pleasant, N. C."         , North Carolina College                                          , 1859         , Free                 , Col            , 700                         , 100                      ,                    , 0                        , 0                                    ,                                   , 
2589  , "Mt. Pleasant, N. C."         , Philalæthian Society                                            , 1860         ,                      , Soc'y          , 400                         , 50                       ,                    ,                          ,                                      ,                                   , 
2590  , "Mt. Pleasant, N. C."         , Pi Sigma Phi Society                                            , 1860         ,                      , Soc'y          , 400                         , 50                       ,                    ,                          ,                                      ,                                   , 
2591  , "Murfreesboro', N. C."        , Chowan Baptist Female Institute                                 , 1848         ,                      , Acad.          , 800                         ,                          ,                    ,                          ,                                      ,                                   , 
2592  , "New Garden, N. C."           , New Garden Boarding School                                      , 1844         ,                      , Acad.          , "1,200"                     , 3                        ,                    , 0                        ,                                      ,                                   , 
2593  , "Newton, N. C."               , Catawba English and Classical High School                       , 1852         ,                      , Acad.          , "2,500"                     ,                          ,                    , 0                        ,                                      ,                                   , 
2594  , "Pittsboro', N. C."           , Locust Hill Seminary                                            , 1860         ,                      , Acad.          , "2,000"                     ,                          ,                    , 0                        ,                                      ,                                   , 
2595  , "Raleigh, N. C."              , Insane Asylum of North Carolina                                 , 1868         ,                      , A. & R.        , 700                         ,                          ,                    , 0                        ,                                      ,                                   , 
2596  , "Raleigh, N. C."              , Peace Institute                                                 , 1372         ,                      , Acad.          , 300                         ,                          ,                    , 0                        ,                                      ,                                   , 
2597  , "Raleigh, N. C."              , Raleigh Female Seminary                                         , 1871         ,                      , Acad.          , "1,000"                     ,                          ,                    , 0                        ,                                      ,                                   , 
2598  , "Raleigh, N. C."              , Raleigh High School                                             , 1873         ,                      , Acad.          , "1,200"                     ,                          ,                    ,                          ,                                      ,                                   , 
2599  , "Raleigh, N. C."              , St. Mary's School                                               , 1841         ,                      , Acad.          , "2,200"                     ,                          ,                    ,                          ,                                      ,                                   , 
2600  , "Raleigh, N. C."              , Shaw University                                                 , 1874         ,                      , Acad.          , "1,300"                     ,                          ,                    ,                          ,                                      ,                                   , 
2601  , "Raleigh, N. C."              , State Library                                                   , 1831         ,                      , State          , "40,000"                    , "1,140"                  ,                    ,                          ,                                      ,                                   , 500
2602  , "Riddicksville, N. C."        , Buckhorn Academy                                                , 1855         ,                      , Acad.          , "1,000"                     , 25                       ,                    , 0                        ,                                      ,                                   , 
2603  , "Salem, N. C."                , Salem Female Academy                                            , 1806         , Sub                  , Acad.          , "3,500"                     ,                          ,                    ,                          ,                                      ,                                   , 
2604  , "Statesville, N. C."          , Simonton Female College                                         ,              ,                      , Acad.          , 300                         ,                          ,                    ,                          ,                                      ,                                   , 
2605  , "Thomasville, N. C."          , Thomasville Female College                                      ,              ,                      , Acad.          , 500                         ,                          ,                    ,                          ,                                      ,                                   , 
2606  , "Trinity, N. C."              , Trinity College                                                 , 1849         ,                      , Col            , "1,800"                     , 50                       ,                    , 0                        ,                                      ,                                   , 
2607  , "Trinity, N. C."              , Columbian Society                                               ,              ,                      , Soc'y          , "4,300"                     ,                          ,                    ,                          ,                                      ,                                   , 
2608  , "Trinity, N. C."              , Hesperian Society                                               ,              ,                      , Soc'y          , "4,200"                     ,                          ,                    ,                          ,                                      ,                                   , 
2609  , "Trinity, N. C."              , Theological Department                                          , 1849         ,                      , The'l          , 600                         ,                          ,                    , 0                        ,                                      ,                                   , 
2610  , "Wake Forest, N. C."          , "Wake Forest College, Euzelian Society"                         , 1835         ,                      , Soc'y          , "4,000"                     , 50                       ,                    ,                          ,                                      ,                                   , 
2611  , "Wake Forest, N. C."          , "Wake Forest College, Philomathesian Society"                   , 1835         ,                      , Soc'y          , "4,000"                     , 50                       ,                    ,                          ,                                      ,                                   , 
2612  , "Wilmington, N. C."           , English and Classical School                                    , 1859         ,                      , Acad.          , "2,200"                     ,                          ,                    ,                          ,                                      ,                                   , 
2613  , "Wilmington, N. C."           , Library Association                                             , 1855         , Sub.                 , Soc'l          , "2,500"                     , 150                      , "3,600"            , 0                        , 900                                  , 150                               , 750
2614  , "Wilson, N. C."               , Wilson College                                                  , 1872         ,                      , Col            , "1,200"                     , 100                      ,                    , 0                        ,                                      ,                                   , 
2615  , "Ada, Ohio"                   , Northwestern Ohio Normal School                                 , 1871         ,                      , Acad.          , 781                         ,                          ,                    ,                          ,                                      ,                                   , 
2616  , "Akron, Ohio"                 , Buchtel College                                                 , 1871         ,                      , Col            , "1,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
2617  , "Akron, Ohio"                 , Public Library                                                  , 1866         ,                      , Pub            , "6,080"                     ,                          ,                    , 0                        ,                                      ,                                   , 
2618  , "Alliance, Ohio"              , Linnæan Library                                                 , 1854         , Sub.                 , Soc'l          , "1,400"                     , 80                       , 900                , 0                        , 100                                  , 90                                , 10
2619  , "Ashtabula, Ohio"             , Social Library Association                                      , 1830         , Sub.                 , Soc'l          , "1,192"                     ,                          ,                    , 0                        , 50                                   , 35                                , 16
2620  , "Athens, Ohio"                , Ohio University                                                 , 1820         ,                      , Col            , "7,500"                     ,                          ,                    ,                          ,                                      ,                                   , 
2621  , "Austinburg, Ohio"            , Grand River Institute                                           ,              ,                      , Acad.          , 500                         ,                          ,                    ,                          ,                                      ,                                   , 
2622  , "Bellefontaine, Ohio"         , Brown Library Association                                       , 1871         , Sub.                 , Soc'l          , "1,200"                     , 250                      , "3,000"            , 600                      , 600                                  ,                                   , 185
2623  , "Bellevue, Ohio"              , Goodsen's Circulating Library                                   ,              ,                      , Mis            , 500                         ,                          ,                    ,                          ,                                      ,                                   , 
2624  , "Berea, Ohio"                 , Baldwin University                                              , 1850         ,                      , Col            , "2,000"                     , 50                       ,                    ,                          ,                                      ,                                   , 
2625  , "Berea, Ohio"                 , "Society Libraries, (4)"                                        ,              ,                      , Soc'y          , 960                         , 60                       ,                    ,                          ,                                      ,                                   , 
2626  , "Berea, Ohio"                 , German Methodist Orphan Asylum                                  , 1866         ,                      , A. & R.        , 300                         , 0                        ,                    , 0                        ,                                      ,                                   , 
2627  , "Berea, Ohio"                 , German Wallace College                                          , 1866         ,                      , Col            , 550                         , 50                       ,                    , 0                        , 0                                    ,                                   , 
2628  , "Berea, Ohio"                 , "Society Libraries, (2)"                                        ,              ,                      , Soc'y          , 400                         , 50                       ,                    ,                          ,                                      ,                                   , 
2629  , "Blendon, Ohio"               , Central College Academy                                         , 1842         ,                      , Acad.          , 500                         ,                          ,                    ,                          ,                                      ,                                   , 
2630  , "Bloomingburgh, Ohio"         , Bloomingburgh Academy                                           ,              ,                      , Acad.          , 700                         ,                          ,                    ,                          ,                                      ,                                   , 
2631  , "Canton, Ohio"                , Public School Library                                           ,              ,                      , Acad.          , "1,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
2632  , "Canton, Ohio"                , Young Men's Christian Association                               , 1867         , Sub                  , Y.M.C.A        , "1,546"                     , 0                        ,                    ,                          ,                                      ,                                   , 
2633  , "Carthage, Ohio"              , Longview Library                                                , 1860         ,                      , A. & R.        , "2,087"                     , 55                       ,                    ,                          ,                                      ,                                   , 
2634  , "Carthagena, Ohio"            , Theological Seminary of St. Charles Borromeo                    , 1864         ,                      , The'l          , "5,000"                     , 200                      ,                    ,                          ,                                      , $350                              , 
2635  , "Chillicothe, Ohio"           , Public Library                                                  , 1874         , Free                 , Pub            , "4,000"                     ,                          , "17,736"           , "$2,000"                 , $250                                 ,                                   , $400
2636  , "Cincinnati, Ohio"            , Catholic Institute                                              , 1860         , Free                 , Soc'l          , "3,000"                     , 0                        ,                    , 0                        , 0                                    , 0                                 , 0
2637  , "Cincinnati, Ohio"            , Chickering Institute                                            , 1868         ,                      , Acad.          , 500                         , 50                       ,                    , 0                        ,                                      ,                                   , 
2638  , "Cincinnati, Ohio"            , Cincinnati Hospital                                             , 1870         ,                      , Med            , "2,119"                     ,                          ,                    ,                          ,                                      ,                                   , 
2639  , "Cincinnati, Ohio"            , Cincinnati Law Library                                          , 1847         , Sub.                 , Law            , "6,329"                     , 428                      ,                    , 0                        ,                                      ,                                   , 
2640  , "Cincinnati, Ohio"            , Cincinnati Orphan Asylum                                        , 1833         ,                      , A. & R.        , 396                         ,                          ,                    , 0                        ,                                      ,                                   , 
2641  , "Cincinnati, Ohio"            , Cincinnati Wesleyan College                                     , 1842         ,                      , Acad.          , 500                         , 50                       ,                    ,                          ,                                      ,                                   , 
2642  , "Cincinnati, Ohio"            , German Orphan Asylum                                            , 1869         ,                      , A. & R.        , 480                         ,                          ,                    ,                          ,                                      ,                                   , 
2643  , "Cincinnati, Ohio"            , Gundry's (now Queen City) Business College                      , 1843         ,                      , Acad.          , "1,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
2644  , "Cincinnati, Ohio"            , Historical and Philosophical Society                            , 1831         ,                      , Hist'l         , "5,413"                     , 344                      ,                    , "8,735"                  , "1,265"                              ,                                   , 
2645  , "Cincinnati, Ohio"            , House of Refuge                                                 , 1869         ,                      , A. & R.        , "1,000"                     , 165                      ,                    ,                          ,                                      ,                                   , 
2646  , "Cincinnati, Ohio"            , Hughes High School                                              , 1854         ,                      , Acad.          , "1,200"                     , 50                       ,                    , 0                        ,                                      ,                                   , 
2647  , "Cincinnati, Ohio"            , Lane Theological Seminary                                       , 1829         ,                      , The'l          , "12,000"                    , 250                      ,                    , "9,600"                  , 700                                  , 600                               , 100
2648  , "Cincinnati, Ohio"            , Law School of Cincinnati College                                , 1874         ,                      , Law            , 938                         ,                          ,                    ,                          , "1,500"                              ,                                   , 
2649  , "Cincinnati, Ohio"            , Literary Institute of the Sisters of Notre Dame                 , 1840         ,                      , Acad.          , 730                         ,                          ,                    ,                          ,                                      ,                                   , 
2650  , "Cincinnati, Ohio"            , Medical College of Ohio                                         , 1819         ,                      , Med            , "5,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
2651  , "Cincinnati, Ohio"            , Mendenhall's Circulating Library                                , 1854         , Sub                  , Mis            , "6,000"                     , 300                      ,                    ,                          ,                                      ,                                   , 
2652  , "Cincinnati, Ohio"            , Mt. St. Mary's Seminary of the West                             , 1849         ,                      , The'l          , "15,100"                    , 300                      ,                    ,                          ,                                      ,                                   , 
2653  , "Cincinnati, Ohio"            , Nelson's Business College                                       , 1856         ,                      , Acad.          , 500                         ,                          ,                    ,                          ,                                      ,                                   , 
2654  , "Cincinnati, Ohio"            , New Church Library                                              ,              , Free                 , The'l          , "1,100"                     ,                          , 360                , 0                        ,                                      ,                                   , 
2655  , "Cincinnati, Ohio"            , Protectory for Boys                                             , 1868         ,                      , A. & R.        , 627                         ,                          ,                    ,                          ,                                      ,                                   , 
2656  , "Cincinnati, Ohio"            , Public Library                                                  , 1867         , Free                 , Pub            , "71,405"                    , "11,398"                 , "443,100"          , "5,300"                  , "41,443"                             , "21,801"                          , "18,394"
2657  , "Cincinnati, Ohio"            , Theological and Religious Library Association                   , 1863         , Free                 , The'l          , "4,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
2658  , "Cincinnati, Ohio"            , Pulte Medical College                                           , 1872         ,                      , Med            , 480                         , 120                      ,                    , 0                        , 0                                    ,                                   , 
2659  , "Cincinnati, Ohio"            , St. Xavier College                                              , 1840         ,                      , Col            , "14,000"                    ,                          ,                    ,                          ,                                      ,                                   , 
2660  , "Cincinnati, Ohio"            , Society Libraries                                               ,              ,                      , Soc'y          , "3,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
2661  , "Cincinnati, Ohio"            , Society of Natural History                                      , 1870         ,                      , Sci            , 900                         ,                          ,                    , "51,000"                 , 850                                  ,                                   , 500
2662  , "Cincinnati, Ohio"            , Turners' Library                                                , 1848         , Free                 , Soc'l          , "3,310"                     , 12                       , "7,800"            , 0                        , 100                                  , 95                                , 0
2663  , "Cincinnati, Ohio"            , University of Cincinnati                                        , 1875         ,                      , Col            , 500                         ,                          ,                    , 0                        ,                                      ,                                   , 
2664  , "Cincinnati, Ohio"            , Young Men's Christian Association                               , 1848         , Free                 , Y.M.C.A        , "1,200"                     , 100                      , "8,000"            , 0                        ,                                      , 500                               , 
2665  , "Cincinnati, Ohio"            , Young Men's Mercantile Library                                  , 1835         , Sub.                 , Mer            , "36,193"                    , "1,184"                  , "56,256"           , "4,230"                  , "12,100"                             , "3,003"                           , "7,514"
2666  , "Circleville, Ohio"           , Public Library                                                  , 1873         , Free                 , Pub            , "1,400"                     ,                          ,                    , 0                        ,                                      ,                                   , 
2667  , "Circleville, Ohio"           , School Library                                                  , 1857         , Free                 , Acad.          , 700                         , 0                        , "5,000"            , 0                        , 0                                    , 0                                 , 0
2668  , "Cleveland, Ohio"             , Cleveland Female Seminary                                       , 1853         ,                      , Acad.          , "1,000"                     ,                          ,                    , 0                        ,                                      ,                                   , 
2669  , "Cleveland, Ohio"             , Cleveland Medical College                                       , 1843         ,                      , Med            , "2,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
2670  , "Cleveland, Ohio"             , Cleveland Orphan Asylum                                         ,              ,                      , A. & R.        , "1,000"                     ,                          ,                    , 0                        ,                                      ,                                   , 
2671  , "Cleveland, Ohio"             , Homœopathic Hospital College                                    , 1849         ,                      , Med            , "1,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
2672  , "Cleveland, Ohio"             , Ohio State and Union Law College                                , 1856         ,                      , Law            , "3,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
2673  , "Cleveland, Ohio"             , "Orphan Asylum, I. O. B. B"                                     , 1870         ,                      , A. & R.        , 450                         ,                          ,                    ,                          ,                                      ,                                   , 
2674  , "Cleveland, Ohio"             , Public Library                                                  , 1868         , Free                 , Pub            , "24,000"                    , "3,500"                  , "173,281"          ,                          , "8,500"                              , "7,500"                           , "6,500"
2675  , "Cleveland, Ohio"             , Western Reserve and Northern Ohio Historical Society            , 1867         ,                      , Hist'l         , "2,275"                     ,                          ,                    , "10,000"                 , "1,100"                              ,                                   , 
2676  , "Cleveland, Ohio"             , Working Women's Home                                            , 1869         ,                      , A. & R.        , 300                         , 30                       ,                    , 0                        ,                                      ,                                   , 
2677  , "Cleveland, Ohio"             , Young Men's Christian Association                               , 1873         , Free                 , Y.M.C.A        , "1,200"                     , 25                       , "7,000"            , 0                        ,                                      ,                                   , "1,500"
2678  , "Cleveland, Ohio"             , Young Men's Christian Association Railway Library               , 1872         , Free                 , Y.M.C.A        , 375                         , 16                       ,                    , 0                        , 0                                    ,                                   , 
2679  , "College Hill, Ohio"          , Cincinnati Sanitarium                                           ,              ,                      , A. & R.        , 800                         ,                          ,                    ,                          ,                                      ,                                   , 
2680  , "College Hill, Ohio"          , "Farmers' College of Hamilton County, Society Libraries, (4.)"  ,              ,                      , Soc'y          , "1,500; 1,500; 1,000; 1,000",                          ,                    ,                          ,                                      ,                                   , 
2681  , "Columbus, Ohio"              , Capital University                                              , 1852         ,                      , Col            , "3,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
2682  , "Columbus, Ohio"              , Columbus Business College                                       , 1864         ,                      , Acad.          , 300                         ,                          ,                    ,                          ,                                      ,                                   , 
2683  , "Columbus, Ohio"              , Columbus Circulating Library                                    , 1870         , Sub                  , Soc'l          , "1,170"                     , 150                      , "5,200"            ,                          ,                                      , $200                              , 
2684  , "Columbus, Ohio"              , Columbus Turnverein                                             , 1867         , Free                 , Soc'l          , 420                         , 10                       , 250                , $0                       , $0                                   , 50                                , $0
2685  , "Columbus, Ohio"              , High School Library                                             , 1853         , Free                 , Acad.          , "2,000"                     , 50                       , "3,000"            , 0                        , 0                                    ,                                   , 50
2686  , "Columbus, Ohio"              , Institution for the Deaf and Dumb                               , 1829         ,                      , Acad.          , "3,000"                     , 100                      ,                    , 0                        ,                                      ,                                   , 
2687  , "Columbus, Ohio"              , Ohio Agricultural and Mechanical College                        , 1873         ,                      , Sci            , "1,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
2688  , "Columbus, Ohio"              , Ohio State Library                                              , 1817         ,                      , State          , "40,000"                    , "1,300"                  ,                    ,                          , "2,000"                              , "2,000"                           , 
2689  , "Columbus, Ohio"              , Public Library and Reading Room                                 , 1872         , Free                 , Pub            , "4,111"                     , 729                      ,                    , "1,200"                  ,                                      ,                                   , 
2690  , "Columbus, Ohio"              , St. Aloysius' Seminary                                          , 1871         ,                      , Acad.          , "3,000"                     , 500                      ,                    ,                          ,                                      ,                                   , 
2691  , "Columbus, Ohio"              , State Board of Agriculture                                      , 1860         ,                      , Sci            , "1,456"                     , 56                       ,                    , 0                        , 0                                    ,                                   , 
2692  , "Columbus, Ohio"              , State Penitentiary                                              , 1867         ,                      , A. & R.        , "3,500"                     ,                          ,                    ,                          , 500                                  , 500                               , 
2693  , "Columbus, Ohio"              , Theological Seminary of the Evangelical Joint Synod of Ohio     , 1832         ,                      , The'l          , "2,500"                     ,                          ,                    ,                          ,                                      ,                                   , 
2694  , "Conneaut, Ohio"              , School Library                                                  ,              ,                      , Sch            , 300                         ,                          ,                    ,                          ,                                      ,                                   , 
2695  , "Dayton, Ohio"                , Cooper Seminary                                                 , 1843         ,                      , Acad.          , "1,300"                     ,                          ,                    ,                          ,                                      ,                                   , 
2696  , "Dayton, Ohio"                , Law Library                                                     , 1869         ,                      , Law            , "1,500"                     ,                          ,                    ,                          ,                                      ,                                   , 
2697  , "Dayton, Ohio"                , "National Soldiers' Home, Putnam Library"                       , 1868         ,                      , Soc'l          , "3,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
2698  , "Dayton, Ohio"                , "National Soldiers' Home, Thomas Library"                       , 1869         ,                      , Soc'l          , "5,100"                     ,                          ,                    ,                          ,                                      ,                                   , 
2699  , "Dayton, Ohio"                , Public School Library                                           , 1854         , Free                 , Acad.          , "13,000"                    , "1,403"                  , "45,000"           ,                          , "2,000"                              ,                                   , "1,180"
2700  , "Dayton, Ohio"                , St. Mary's Institute                                            , 1864         ,                      , Acad.          , 500                         ,                          ,                    ,                          ,                                      ,                                   , 
2701  , "Dayton, Ohio"                , Smith's (William) School                                        , 1872         ,                      , Acad.          , "1,500"                     ,                          ,                    ,                          ,                                      ,                                   , 
2702  , "Dayton, Ohio"                , Union Biblical Seminary                                         , 1872         ,                      , The'l          , 300                         ,                          ,                    , "1,000"                  ,                                      ,                                   , 
2703  , "Dayton, Ohio"                , Young Men's Christian Association                               , 1870         , Free                 , Y.M.C.A        , 300                         ,                          , "3,000"            , 0                        ,                                      ,                                   , 
2704  , "Defiance, Ohio"              , Library Association                                             , 1867         , Sub                  , Soc'l          , 600                         , 62                       , 450                ,                          , 100                                  , 100                               , 
2705  , "Delaware, Ohio"              , Ohio Wesleyan Female College                                    , 1860         ,                      , Acad           , "2,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
2706  , "Delaware, Ohio"              , "Sturges Library, Ohio Wesleyan University"                     , 1856         , Free                 , Col            , "10,400"                    , 100                      ,                    , 0                        ,                                      ,                                   , 
2707  , "Delaware, Ohio"              , "Ohio Wesleyan University, Society Libraries, (3)"              ,              ,                      , Soc'y          , "3,500"                     ,                          ,                    ,                          ,                                      ,                                   , 
2708  , "Eaton, Ohio"                 , Library Association                                             , 1860         , Sub                  , Soc'l          , 506                         , 0                        ,                    , 0                        , 0                                    , 0                                 , 0
2709  , "Eaton, Ohio"                 , Society Library                                                 ,              , Sub                  , Soc'l          , 300                         ,                          ,                    ,                          ,                                      ,                                   , 
2710  , "Elyria, Ohio"                , Elyria Library                                                  , 1870         , Sub                  , Soc'l          , "3,000"                     ,                          ,                    , "10,000"                 ,                                      ,                                   , 
2711  , "Flat Rock, Ohio"             , Ebenezer Orphan Institute                                       , 1870         ,                      , A. & R.        , 500                         , 50                       ,                    , 0                        ,                                      ,                                   , 
2712  , "Fremont, Ohio"               , Birchard Library                                                , 1873         , Free                 , Pub            , "4,205"                     ,                          , "17,591"           , "50,000"                 , 800                                  ,                                   , 
2713  , "Fremont, Ohio"               , School Library                                                  ,              ,                      , Sch            , 300                         ,                          ,                    ,                          ,                                      ,                                   , 
2714  , "Gambier, Ohio"               , Harcourt Place Academy                                          , 1851         ,                      , Acad.          , 300                         ,                          ,                    ,                          ,                                      ,                                   , 
2715  , "Gambier, Ohio"               , Kenyon College                                                  , 1865         , Free                 , Col            , "3,659"                     , 500                      ,                    , "5,000"                  , 350                                  , 350                               , 
2716  , "Gambier, Ohio"               , Nu Pi Kappa Society                                             , 1832         ,                      , Soc'y          , "4,907"                     , 70                       ,                    , 0                        ,                                      , 90                                , 
